Date, Per 100K Population, Annual % Change
31-12-1990,5.057,
31-12-1991,5.45,7.77
31-12-1992,5.4644,0.26
31-12-1993,5.17,-5.39
31-12-1994,5.0188,-2.92
31-12-1995,4.8122,-4.12
31-12-1996,4.7754,-0.76
31-12-1997,4.7375,-0.79
31-12-1998,4.835,2.06
31-12-1999,4.6029,-4.8
31-12-2000,4.5588,-0.96
31-12-2001,4.3181,-5.28
31-12-2002,4.1832,-3.12
31-12-2003,3.9883,-4.66
31-12-2004,4.1155,3.19
31-12-2005,3.9295,-4.52
31-12-2006,3.8577,-1.83
31-12-2007,3.8338,-0.62
31-12-2008,3.8311,-0.07
31-12-2009,3.7631,-1.77
31-12-2010,3.7641,0.03
31-12-2011,3.8103,1.23
31-12-2012,3.7509,-1.56
31-12-2013,3.5819,-4.51
31-12-2014,3.6551,2.04
31-12-2015,3.3869,-7.34
31-12-2016,3.1951,-5.66
31-12-2017,3.064,-4.1
31-12-2018,3.03,-1.11
31-12-2019,2.9624,-2.23
31-12-2020,2.9457,-0.56
