Date, Unemployment Rate (%), Annual Change,,
31-12-1991,5.599,,,
31-12-1992,5.727,0.13,,
31-12-1993,5.691,-0.04,,
31-12-1994,5.739,0.05,,
31-12-1995,5.755,0.02,,
31-12-1996,5.74,-0.01,,
31-12-1997,5.613,-0.13,,
31-12-1998,5.666,0.05,,
31-12-1999,5.736,0.07,,
31-12-2000,5.561,-0.18,,
31-12-2001,5.576,0.01,,
31-12-2002,5.53,-0.05,,
31-12-2003,5.643,0.11,,
31-12-2004,5.629,-0.01,,
31-12-2005,5.613,-0.02,,
31-12-2006,5.601,-0.01,,
31-12-2007,5.572,-0.03,,
31-12-2008,5.414,-0.16,,
31-12-2009,5.544,0.13,,
31-12-2010,5.546,0,,
31-12-2011,5.426,-0.12,,
31-12-2012,5.414,-0.01,,
31-12-2013,5.424,0.01,,
31-12-2014,5.436,0.01,,
31-12-2015,5.435,0,,
31-12-2016,5.423,-0.01,,
31-12-2017,5.358,-0.07,,
31-12-2018,5.33,-0.03,,
31-12-2019,5.27,-0.06,,
31-12-2020,7.997,2.73,,
31-12-2021,5.978,-2.02,,
