,Date, Per 100K Population, Annual % Change, Unemployment Rate (%)
0,31-12-1991,5.45,7.77,5.599
1,31-12-1992,5.4644,0.26,5.727
2,31-12-1993,5.17,-5.39,5.691
3,31-12-1994,5.0188,-2.92,5.739
4,31-12-1995,4.8122,-4.12,5.755
5,31-12-1996,4.7754,-0.76,5.74
6,31-12-1997,4.7375,-0.79,5.613
7,31-12-1998,4.835,2.06,5.666
8,31-12-1999,4.6029,-4.8,5.736
9,31-12-2000,4.5588,-0.96,5.561
10,31-12-2001,4.3181,-5.28,5.576
11,31-12-2002,4.1832,-3.12,5.53
12,31-12-2003,3.9883,-4.66,5.643
13,31-12-2004,4.1155,3.19,5.629
14,31-12-2005,3.9295,-4.52,5.613
15,31-12-2006,3.8577,-1.83,5.601
16,31-12-2007,3.8338,-0.62,5.572
17,31-12-2008,3.8311,-0.07,5.414
18,31-12-2009,3.7631,-1.77,5.544
19,31-12-2010,3.7641,0.03,5.546
20,31-12-2011,3.8103,1.23,5.426
21,31-12-2012,3.7509,-1.56,5.414
22,31-12-2013,3.5819,-4.51,5.424
23,31-12-2014,3.6551,2.04,5.436
24,31-12-2015,3.3869,-7.34,5.435
25,31-12-2016,3.1951,-5.66,5.423
26,31-12-2017,3.064,-4.1,5.358
27,31-12-2018,3.03,-1.11,5.33
28,31-12-2019,2.9624,-2.23,5.27
29,31-12-2020,2.9457,-0.56,7.997
